Id,Name,Category,Location,Opening_hours,Holidays,I_Adult,I_Children,I_Photography,F_Adult,F_Children,F_Photography,Students Entry Fee,Required Time,"(latitude,longitude)",Description
18,Visvesvaraya Industrial and Technological Museum,Science and Technology,Banglore,9:30 AM - 6:00 PM,Ganesha Chathurthi and Deepavali,95,35,Free,95,35,Free,35,3 hours,"(12.9752,77.5967)","The Visvesvaraya Industrial and Technological Museum, located in Bengaluru, India, is a science and technology museum that showcases India's industrial and technological progress. Named after M Visvesvaraya, a renowned engineer and statesman, the museum features exhibits on science, technology, engineering, and mathematics (STEM) fields, including robotics, electronics, and computer science. It also has a planetarium, a science park, and an art gallery, making it a popular destination for students, researchers, and science enthusiasts. The museum is part of the National Council of Science Museums, India, and aims to promote science education and awareness."
19,Nehru Science Centre,Science and Technology,"Mumbai, Maharashtra",9:30 AM - 6:00 PM,Diwali and Holi,70,20,Free,70,20,Free,20,3 hours,"(19.0176,72.8306)","The Nehru Science Centre is a popular science museum located in Mumbai, India. It was established in 1977 and is one of the largest science centres in Asia. The centre has over 500 exhibits showcasing various scientific and technological concepts, including space exploration, physics, chemistry, and biology. Visitors can interact with models and experiments, watch live demonstrations, and participate in hands-on activities. The centre also has a planetarium, an IMAX theatre, and a 3D theatre, making it an ideal destination for families, students, and science enthusiasts. It is a great place to learn and have fun at the same time."
20,National Science Centre,Science and Technology,Delhi,9:30 AM - 6:00 PM,Holi and Diwali,70,20,Free,70,20,Free,20,3 hours,"(28.6139,77.2090)","The National Science Centre is a popular science museum located in various cities across India. The first National Science Centre was established in 1984 in New Delhi and since then, several other centres have been set up in different cities. These centres aim to promote science literacy and awareness among the general public, especially children, through interactive exhibits, workshops, and demonstrations. The exhibits cover a wide range of topics, including astronomy, biology, chemistry, physics, and more. The centres also host temporary exhibitions, shows, and events to engage visitors and inspire a love for science."
21,Birla Science Museum,Science and Technology,Hyderabad,10:30 AM - 8:00 PM,Opens Daily,150,100,Free,150,100,Free,100,3 hours,"(17.4062,78.4691)","The Birla Science Museum is a popular science museum located in Hyderabad, India. It was established in 1992 and is named after the Birla family, a prominent Indian business family. The museum showcases a wide range of scientific exhibits, including dinosaur fossils, a planetarium, and an observatory. It also features a collection of scientific instruments and a hands-on science center for children. The museum is a great place to learn about science and technology in a fun and interactive way. It is a popular tourist destination in Hyderabad and is visited by thousands of people every year."
22,Birla Industrial & Technological Museum,Science and Technology,Kolkata,9:30 AM - 6:00 PM,Holi and Diwali,50,20,Free,50,20,Free,20,3 hours,"(22.5395,88.3639)","The Birla Industrial and Technological Museum is a science museum located in Kolkata, India. It was established in 1959 and is one of the oldest science museums in India. The museum showcases a wide range of scientific and technological exhibits, including a collection of industrial equipment, artifacts, and interactive displays. It also features a planetarium and a gallery dedicated to the history of science and technology in India. The museum is a popular tourist destination and a valuable resource for students and researchers interested in science and technology. It is managed by the National Council of Science Museums."
23,Science City,Science and Technology,Kolkata,10:00 AM - 7:00 PM,Holi,50,20,Free,50,20,Free,20,3 hours,"(22.5392,88.4072)","Science City is a popular science center located in Kolkata, India. It is a hub for science education, entertainment, and innovation, showcasing various scientific principles and concepts through interactive exhibits, demonstrations, and hands-on activities. The city is divided into different zones, including Space Odyssey, Butterfly Garden, Science Park, and IMAX Theater, among others. Science City attracts millions of visitors each year, making it one of the most visited science centers in Asia. It aims to promote scientific awareness, curiosity, and learning among people of all ages and backgrounds."
24,Kerala Science and Technology Museum,Science and Technology,Kerala,10:00 AM - 5:00 PM,Monday,30,20,Free,30,20,Free,20,3 hours,"(8.5241,76.9366)","The Kerala Science and Technology Museum is a popular science museum located in Thiruvananthapuram, Kerala, India. The museum showcases a wide range of scientific and technological exhibits, including a collection of vintage cars, a model of a submarine, and a section on Kerala's rich cultural heritage. The museum also features interactive displays and live demonstrations, making it an engaging and educational experience for visitors of all ages. It is an ideal destination for science enthusiasts, students, and families, providing a unique and enjoyable learning experience. It was established in 1955, and it is open six days a week."
25,Gujarat Science City,Science and Technology,Ahmedabad,10:00 AM - 7:30 PM,Monday,50,20,Free,50,20,Free,20,3 hours,"(23.0700,72.5178)","Gujarat Science City is a popular science museum and amusement park located in Ahmedabad, Gujarat, India. It was established in 2000 and is one of the largest science museums in Asia. The city offers a range of interactive science exhibits, 3D theater shows, and a butterfly garden. Visitors can also explore a mini railway, a nature park, and a space world gallery. The complex is spread over 88 acres and attracts millions of visitors every year, making it a must-visit destination for science enthusiasts and families. It promotes science education and awareness among the general public."
26,Regional Science Centre,Science and Technology,Bhopal,09:30 AM - 06:00 PM,Diwali and Holi,40,20,20,100,50,50,10,3 hours,"(23.2599,77.4126)","The Regional Science Centre in Bhopal is a popular science centre that showcases science and technology in an interactive and engaging manner. Located in the capital city of Madhya Pradesh, it is a part of the National Council of Science Museums (NCSM), a premier scientific institution in India."
27,Regional Science Centre and Planetarium,Science and Technology,Calicut,10:00 AM - 06:00 PM,Diwali and Vijayadashami,"Science Centre Only: Individual: ?40,Organized School Groups: ?20,Special Schools: ?5 Entry + Planetarium: Individual: ?95,Organized School Groups: ?40,Special Schools: ?15 Entry + 3D Science Show:Individual: ?75,Organized School Groups: ?35,Special Schools: ?10",,,,,,20,4 hours,"(11.2588,75.7804)","The Regional Science Centre and Planetarium in Calicut is a popular tourist destination and educational hub. Located in Kozhikode, Kerala, India, it was established in 1992 by the National Council of Science Museums (NCSM). The centre features various interactive science exhibits, a planetarium, and a children's science park. The planetarium showcases 3D educational programs and documentaries on astronomy and space science. The centre also conducts workshops, seminars, and camps for students and teachers to promote science literacy and awareness. It is a must-visit destination for science enthusiasts and students of all ages."
28,Jalan Museum (Quila House),Museum-house,"Patna,Bihar","Monday - Saturday: 09:00 AM - 11:00 AM, Sunday: 10:00 AM - 04:00 PM",Opens Daily,Free,Free,Free,Free,Free,Free,Free,2 hours,"(25.6093,85.1235)","Jalan Museum (Quila House) is a museum located in Sibu, Sarawak, Malaysia. It is housed in a building that was originally a 19th-century capitol building, which served as the residence of the White Rajah, Charles Brooke. The museum showcases the history and culture of Sarawak, with exhibits on the state's early history, traditional clothing, and ethnology. The building itself is a fine example of colonial architecture and has been restored to its original grandeur. Visitors can explore the museum's galleries and learn about the rich history of Sarawak."
29,Gandhi Smarak Sangrahalaya (Gandhi Memorial Museum) ,Museum-house,"Ahmedabad, Gujarat",10:00 AM - 06:00 PM,Opens Daily,Free,Free,Free,Free,Free,Free,Free,2 hours,"(23.0600,72.5800)","The Gandhi Smarak Sangrahalaya, also known as the Gandhi Memorial Museum, is a museum located in Ahmedabad, Gujarat, India. It is dedicated to the life and teachings of Mahatma Gandhi, a key figure in India's struggle for independence. The museum showcases a vast collection of artifacts, photographs, and personal belongings of Gandhi, providing insight into his life and legacy. The museum also hosts exhibitions and events that highlight Gandhi's philosophy of non-violence and peaceful coexistence. It is a significant cultural and historical landmark in India, attracting visitors from around the world."
30,Teen Murti Bhavan (Nehru Memorial Museum and Library),Museum-house,New Delhi,10:00 AM - 05:00 PM,Monday,50,30,Free,50,30,Free,20,2 hours,"(28.6016,77.1987)","Teen Murti Bhavan, also known as the Nehru Memorial Museum and Library, is a museum located in New Delhi, India. It was the official residence of India's first Prime Minister, Jawaharlal Nehru, and is now a museum showcasing his life and legacy. The museum features a collection of Nehru's personal belongings, photographs, and documents, as well as a library with a vast collection of books and papers related to Indian history and politics. The building itself is a historic monument and a popular tourist destination in New Delhi."
31,Albert Hall Museum,Museum-house," Jaipur, Rajasthan","09:00 AM - 05:00 PM, 07:00 PM - 10:00 PM",Opens Daily,"?40 (Day), ?100 (Night)","?20 (Day), ?100 (Night)",50,"?300 (Day), ?100 (Night)","?150 (Day), ?100 (Night)",50,Free,2 hours,"(26.9124,75.8149)","The Albert Hall Museum is a museum located in Jaipur, Rajasthan, India. It was established in 1887 and is one of the oldest museums in India. The museum is housed in a beautiful example of Indo-Saracenic architecture, with a stunning blend of Mughal and Rajput styles. The museum's collection includes a wide range of artifacts, including paintings, sculptures, pottery, and jewelry from the Mughal and Rajput periods. The museum also features a large collection of natural history specimens and a gallery dedicated to the history of printing. It is a must-visit destination for history and art enthusiasts."
32,Jagdish and Kamla Mittal Museum of Indian Art,Museum-house,Hyderabad,10:00 AM - 05:00 PM,Sunday,Free,Free,Free,Free,Free,Free,Free,2 hours,"(17.3850,78.4867)","The Jagdish and Kamla Mittal Museum of Indian Art is a museum located in Solan, Himachal Pradesh, India. The museum showcases a vast collection of Indian art and artifacts, including paintings, sculptures, and decorative arts. The museum's collection spans over a thousand years of Indian art history, from the medieval to the modern period. It also features a beautiful garden and a peaceful atmosphere, making it a popular tourist destination for those interested in art, history, and culture. The museum is open to visitors and offers a unique opportunity to explore Indian art and heritage."
33,Maharaja Fateh Singh Museum,Museum-house,"Vadodara, Gujarat",10:00 AM - 05:00 PM,Monday and public holidays,Free,Free,Free,Free,Free,Free,Free,2 hours,"(22.2973,73.1947)","The Maharaja Fateh Singh Museum is a museum located in the city of Udaipur, Rajasthan, India. It is situated in the Fateh Prakash Palace, a former royal palace built in the 19th century. The museum showcases a collection of art and artifacts from the Mewar region, including paintings, sculptures, and decorative arts. The museum's collection includes works by renowned Indian artists, as well as European and Chinese art. It is a popular tourist destination and a significant cultural institution in India, offering a glimpse into the region's rich artistic and historical heritage."
34,Kirti Mandir,Museum-house,"Porbandar, Gujarat","10:00 AM - 12:00 PM,3:00 PM - 06:30 PM",Opens Daily,Free,Free,Free,Free,Free,Free,Free,2 hours,"(21.6417,69.6293)","The Kirti Mandir is a memorial dedicated to the birthplace of Mahatma Gandhi in Porbandar, Gujarat. It not only serves as a place to honor the life and legacy of Gandhi but also houses a museum that displays personal items, photographs, and manuscripts related to his life and work. The museum's exhibits focus on Gandhi’s philosophy, his role in India's independence, and his impact on global civil rights movements. It is an important location for those studying history, peace studies, and the Indian independence movement."
35,Government Museum,Archeology Museum,Chennai,09:30 AM - 05:00 PM,Friday and public holidays,15,10,200,250,125,200,5,3 hours,"(13.0735,80.2606)","The Government Museum in Chennai is one of the oldest museums in India, offering an extensive collection that spans multiple disciplines. The museum's sections include archaeology, numismatics, sculpture, and art. It is particularly well-known for its rich collection of South Indian sculptures, ancient coins, and archaeological artifacts that trace the history of the region from ancient to modern times. Students of art history and archaeology frequently visit the museum for its rich historical and cultural resources."
36,Archaeological Museum,Archeology Museum,"Sarnath, Uttar Pradesh",09:00 AM - 05:00 PM,Friday and public holidays,5,Free,Free,100,Free,Free,Free,2 hours,"(25.3762,83.0220)","The Archaeological Museum in Sarnath is a significant museum located near the site where Lord Buddha gave his first sermon. It houses important Buddhist relics, sculptures, and artifacts that are central to understanding the Buddhist heritage of India. The museum’s collection includes ancient statues, inscriptions, and artifacts that provide insight into the early development of Buddhism. For students of religious studies, archaeology, and history, the museum offers invaluable resources to explore the archaeological and cultural significance of Sarnath."
37,Indian Museum of Archaeology,Archeology Museum,"Kolkata,West Bengal",10:00 AM - 5:00 PM,Monday and public holidays,50,20,50,300,150,200,20,3 hours,"(22.5583,88.3510)","The Indian Museum of Archaeology, located in Calcutta (now Kolkata), India, is one of the oldest and largest museums in Asia. Established in 1814, it houses a vast collection of artifacts from prehistoric times to the 19th century, including Indian, Chinese, and Egyptian antiquities. The museum's collection spans over 2,00,000 objects, including fossils, coins, sculptures, and paintings. It is a treasure trove of India's rich cultural and historical heritage, attracting visitors from around the world. The museum is also a hub for archaeological research and education."
38,National Museum of Athropology,Archeology Museum,New Delhi,10:00 AM - 5:00 PM,Monday and public holidays,20,10,20,650,350,500,10,3  hours,"(28.6120,77.2195)","The National Museum of Anthropology in Delhi is one of the premier institutions in India dedicated to the study of human cultures and societies. The museum's collection spans a wide range of anthropological themes, including ethnography, human evolution, and cultural diversity. It showcases artifacts from various indigenous communities across India, focusing on their social structures, rituals, and artistic expressions. The museum plays an essential role in the study of anthropology, particularly for students interested in human societies and cultural practices."
39,State Archaelogical Museum,Archeology Museum,"Hyderabad,Telangana",10:30 AM - 5:00 PM,Public Holidays,15,5,20,100,50,100,5,2 hours,"(17.4062,78.4691)","The State Archaeological Museum in Telangana is a premier institution dedicated to preserving and showcasing the state's rich cultural heritage. Located in Hyderabad, the museum features an impressive collection of artifacts and exhibits that highlight the region's history, art, and architecture. The museum's collection includes ancient inscriptions, sculptures, coins, and other archaeological finds that date back to the pre-historic era. It also has a special gallery dedicated to the Nizams of Hyderabad, offering a glimpse into the region's rich history and cultural heritage. The museum is a must-visit for history enthusiasts and culture lovers."
40,Archaeological Museum,Archeology Museum,Goa,10:00 AM - 5:00 PM,Monday and public holidays,10,5,20,50,25,50,5,2 hours,"(15.5009,73.9116)","The Archaeological Museum Goa, located in Old Goa, is a museum showcasing the state's rich cultural and historical heritage. The museum houses a collection of artifacts and exhibits from the prehistoric era to the medieval period, including ancient pottery, coins, and sculptures. It also features a collection of rare and unique items such as ancient murals, jewelry, and temple idols. The museum's exhibits provide valuable insights into the history and culture of Goa, making it a must-visit for history enthusiasts and tourists alike. It is a great place to learn about Goa's past and its people."
41,Government Museum,Archeology Museum,"banglore,Karnataka",10:00 AM - 5:00 PM,Monday and public holidays,10,5,20,10,25,50,5,2 hours,"(12.9762,77.5929)","The Government Museum in Bangalore, officially known as the Chamarajendra Museum of Arts and Archaeology, is one of the oldest museums in the country. Established in 1875, it showcases a rich collection of over 50,000 artifacts, including ancient sculptures, inscriptions, coins, and art pieces. The museum has several galleries featuring exhibits on history, art, archaeology, and geology. Some of the notable exhibits include ancient artifacts from the Indus Valley Civilization, sculptures from the Chola and Hoysala dynasties, and a rare collection of Indian musical instruments."
42,National Museum of Minerals,General,New Delhi,10:00 AM - 5:00 PM,Monday and public holidays,20,10,20,100,50,100,10,2 hours,"(28.6120,77.2195)","The National Museum of Minerals in New Delhi is a specialized institution dedicated to the study and display of minerals, rocks, and fossils. It houses an extensive collection of mineral specimens from across India and around the world, providing a deep dive into the geological history of the Earth. The museum's exhibits focus on the properties, classifications, and various uses of minerals, from their formation to their applications in modern industries such as construction, electronics, and energy."
43,Rail Museum,General,"Mysore,Karnataka",9:30 AM - 5:30 PM,Public Holidays,10,5,20,50,25,50,5,1 hour,"(28.5855,77.1910)","The Rail Museum in Mysore is a popular tourist destination that showcases the history of Indian railways. Located on 35 acres of land, the museum features over 40 exhibits, including vintage locomotives and coaches. Visitors can explore the various galleries, which showcase the development of Indian railways from its inception to the present day. The museum also offers an interactive display, a railway gallery, and a vintage camera and model display. Additionally, it has a collection of steam engines, electric and diesel locomotives, and railway carriages. The museum is a must-visit for history buffs and railway enthusiasts."
44,Kolkata Panorama,General,"Kolkata,West Bengal",11:00 AM - 6:00 PM,Monday and public holidays,50,20,50,200,100,150,20,2 hours,"(22.5726,88.3639)","The Kolkata Panorama is a visual representation of the history, culture, and architecture of the city of Kolkata. It offers a panoramic view of the city's development over the years, highlighting significant landmarks, historical events, and cultural transformations. The museum's collection includes models, photographs, and artifacts that reflect Kolkata’s rich heritage, both from the colonial and post-colonial eras. It serves as an important resource for those studying urban history, architecture, and the socio-political evolution of Kolkata. Visitors interested in understanding the growth of Kolkata as a cultural and historical center will find this museum fascinating."
45,National museum of Indian cinema,General,"Mumbai,Maharastra",11:00 AM - 6:00 PM,Monday and public holidays,20,10,20,100,50,100,10,2 hours,"(18.9318,72.8277)","The National Museum of Indian Cinema is a museum located in Mumbai, India. It is a repository of Indian cinema's rich history and heritage, showcasing a vast collection of films, artifacts, and memorabilia. The museum was established in 1990 by the National Film Archives of India and has since become a popular destination for film enthusiasts and historians. The museum's collection includes films, costumes, props, and other exhibits that highlight the evolution of Indian cinema over the years. It is a must-visit destination for anyone interested in Indian film history."
46,Manav Sangrahalaya,General,Madhya Pradesh,10:00 AM - 5:00 PM,Public Holidays,10,5,20,50,25,50,5,1 hour,"(23.2599,77.4126)","The Manav Sangrahalaya, also known as the Museum of Man, is located in Indore and is dedicated to the anthropological and ethnological study of the human race. The museum's collection spans the evolution of humans from prehistoric times to the modern era, with a focus on how human societies have developed, adapted, and evolved. Exhibits include prehistoric tools, tribal artifacts, and cultural displays from various ethnic groups. It provides valuable insights into the daily life, customs, and traditions of India’s diverse tribal and rural communities, making it an important resource for students of anthropology, history, and sociology."
47,Kerala Museum,General,"Ernakulam,Kerala",9:30 AM - 5:00 PM,Public Holidays,20,10,20,100,50,100,10,2 hours,"(10.0159,76.3419)","The Kerala Museum in Kochi is a repository of the cultural and artistic history of Kerala. It focuses on the region’s diverse art forms, traditional crafts, and the cultural influences that have shaped Kerala's history over centuries. The museum houses a rich collection of artifacts, including ancient sculptures, paintings, and jewelry, as well as displays on Kerala’s folklore and religious traditions. It is an ideal place for students of art, culture, and history to explore the rich cultural heritage of Kerala and understand the region's unique artistic practices."
48,Kumbharwada Museum,Arts,Mumbai,10:00 AM - 6:00 PM,Monday,50,20,10,100,50,50,20,1 hour,"(18.9600,72.8258)","The Kumbharwada Museum is a cultural museum located in Mumbai, India. It is situated in the Kumbharwada area, which was once a thriving community of potters. The museum showcases the history and art of pottery-making, with a collection of pottery items, traditional artifacts, and exhibitions on the craft. Visitors can see demonstrations of pottery-making and learn about the techniques and tools used by the potters. The museum is a great place to learn about Indian culture and heritage, and to appreciate the skill and craftsmanship of traditional potters. It is a popular tourist destination in Mumbai."
49,Rajiv Gandhi Musuem of Contemporary Art,Arts,New Delhi,10:00 AM - 6:00 PM,Monday,50,20,25,100,50,50,20,2 hours,"(28.6139,77.2090)","The Rajiv Gandhi Museum of Contemporary Art, located in New Delhi, is a museum showcasing modern and contemporary Indian art. The museum features a diverse collection of artworks, including paintings, sculptures, and installations, highlighting the country''s rich cultural heritage. Its exhibits provide a platform for artists to showcase their work and for visitors to engage with the latest trends and innovations in Indian contemporary art."
